seq us class
2119095104 1221 8
2119095112 1221 8
2119095113 1221 8
2119095118 1221 8
2119095119 1221 8
2119095120 1221 8
2119095121 1221 8
2119095122 1221 8
2119095124 1221 8
2119095125 1221 8
2119095127 1221 8
2119095128 1221 8
2119095130 1221 8
2119095132 1221 8
2119095133 1221 8
2119095135 1221 8
2119095137 1221 8
2119095138 1221 8
2119095141 1221 8
2119095142 1221 8
2119095174 1221 8
2119095175 1221 8
2119095179 1221 8
2119095180 1221 8
2119095182 1221 8
2119095183 1221 8
2119095184 1221 8
2119095192 1221 8
2119095193 1221 8
2119095202 1221 8
2119095203 1221 8
2119095204 1221 8
2119095205 1221 8
2119095206 1221 8
2119095217 1221 8
2119095218 1221 8
2119095219 1221 8
2119095224 1221 8
2119095225 1221 8
2119095230 1221 8
2119095231 1221 8
2119095233 1221 8
2119095256 1221 8
2119095257 1221 8
2119095258 1221 8
2119095259 1221 8
2119095260 1221 8
2119095261 1221 8
2119095262 1221 8
2119095263 1221 8
2119095264 1221 8
2119095265 1221 8
2119095270 1221 8
2119095271 1221 8
2119100894 1204 6
2119100895 1204 6
2119100896 1204 6
2119100897 1204 6
2119100900 1204 6
2119100901 1204 6
2119100902 1204 6
2119100903 1204 6
2119100904 1204 6
2119100905 1204 6
2119100906 1204 6
2119100907 1204 6
2119100908 1204 6
2119100909 1204 6
2119100910 1204 6
2119100911 1204 6
2119100922 1204 6
2119100923 1204 6
2119100924 1204 6
2119100927 1204 6
2119100950 1204 6
2119100951 1204 6
2119100952 1204 6
2119100953 1204 6
2119100954 1204 6
2119100955 1204 6
2119100956 1204 6
2119100959 1204 6
2119100960 1204 6
2119100961 1204 6
2119100962 1204 6
2119100963 1204 6
2119100964 1204 6
2119100965 1204 6
2119100966 1204 6
2119100967 1204 6
2119100974 1204 6
2119100975 1204 6
2119100976 1204 6
2119100979 1204 6
2119100980 1204 6
2119100981 1204 6
2119100984 1204 6
2119100985 1204 6
2119100986 1204 6
2119100987 1204 6
2119100988 1204 6
2119100989 1204 6
2119100990 1204 6
2119100991 1204 6
2119100992 1204 6
2119100995 1204 6
2119126171 1164 1
2119126172 1164 1
2119126173 1164 1
2119126178 1164 1
2119126181 1164 1
2119126182 1164 1
2119126183 1164 1
2119126199 1164 1
2119126200 1164 1
2119126205 1164 1
2119126222 1164 1
2119126223 1164 1
2119126224 1164 1
2119126239 1164 1
2119126240 1164 1
2119126241 1164 1
2119126253 1164 1
2119126254 1164 1
2119126255 1164 1
2119126262 1164 1
2119126273 1164 1
2119126274 1164 1
2119126275 1164 1
2119126276 1164 1
2119126277 1164 1
2119126278 1164 1
2119126279 1164 1
2119126280 1164 1
2119126281 1164 1
2119126286 1164 1
2119126287 1164 1
2119126288 1164 1
2119126289 1164 1
2119126290 1164 1
2119126291 1164 1
2119126292 1164 1
2119126293 1164 1
2119126294 1164 1
2119126295 1164 1
2119126296 1164 1
2119126297 1164 1
2119126298 1164 1
2119126299 1164 1
2119126300 1164 1
2119126301 1164 1
2119126302 1164 1
2119126303 1164 1
2119126304 1164 1
2119126305 1164 1
2119203238 1138 6
2119203239 1138 6
2119203240 1138 6
2119203243 1138 6
2119203245 1138 6
2119203249 1138 6
2119203250 1138 6
2119203251 1138 6
2119203254 1138 6
2119203255 1138 6
2119203269 1138 6
2119203270 1138 6
2119203271 1138 6
2119203278 1138 6
2119203291 1138 6
2119203295 1138 6
2119203296 1138 6
2119203304 1138 6
2119203335 1138 6
2119203336 1138 6
2119203338 1138 6
2119203339 1138 6
2119203346 1138 6
2119203347 1138 6
2119203348 1138 6
2119203372 1138 6
2119203373 1138 6
2119203407 1138 6
2119203408 1138 6
2119304847 995 6
2119304848 995 6
2119304855 995 6
2119304856 995 6
2119304857 995 6
2119304858 995 6
2119304861 995 6
2119304878 995 6
2119304879 995 6
2119304880 995 6
2119304897 995 6
2119304908 995 6
2119304909 995 6
2119304910 995 6
2119304939 995 6
2119304940 995 6
2119313861 966 6
2119313862 966 6
2119313919 966 6
2119313925 966 6
2119313928 966 6
2119314135 966 6
2119314136 966 6
2119314138 966 6
2119326171 953 4
2119326172 953 4
2119326189 953 4
2119326204 953 4
2119326209 953 4
2119326211 953 4
2119326212 953 4
2119326213 953 4
2119326216 953 4
2119326217 953 4
2119326218 953 4
2119326219 953 4
2119326220 953 4
2119326221 953 4
2119326222 953 4
2119326226 953 4
2119326230 953 4
2119326231 953 4
2119326232 953 4
2119326233 953 4
2119326234 953 4
2119326235 953 4
2119326236 953 4
2119326237 953 4
2119326238 953 4
2119326239 953 4
2119326241 953 4
2119326242 953 4
2119326243 953 4
2119326244 953 4
2119326246 953 4
2119326247 953 4
2119326252 953 4
2119326253 953 4
2119326254 953 4
2119326261 953 4
2119326276 953 4
2119326281 953 4
2119326283 953 4
2119326284 953 4
2119326286 953 4
2119326287 953 4
2119326288 953 4
2119326289 953 4
2119326290 953 4
2119326291 953 4
2119326292 953 4
2119326293 953 4
2119326304 953 4
2119326314 953 4
2119326317 953 4
2119326339 953 4
2119326340 953 4
2119326344 953 4
2119326345 953 4
2119326346 953 4
2119326347 953 4
2119326348 953 4
2119326349 953 4
2119326350 953 4
2119326351 953 4
2119326352 953 4
2119326353 953 4
2119326354 953 4
2119326355 953 4
2119326356 953 4
2119326357 953 4
2119326358 953 4
2119326359 953 4
2119326360 953 4
2119326361 953 4
2119326362 953 4
2119326363 953 4
2119326364 953 4
2119326365 953 4
2119326366 953 4
2119326367 953 4
2119326368 953 4
2119326369 953 4
2119326370 953 4
2119326371 953 4
2119326372 953 4
2119326373 953 4
2119326374 953 4
2119350348 915 4
2119350371 915 4
2119350372 915 4
2119350448 915 4
2119350449 915 4
2119350458 915 4
2119350459 915 4
2119350462 915 4
2119350463 915 4
2119350476 915 4
2119350477 915 4
2119350478 915 4
2119350479 915 4
2119350487 915 4
2119350488 915 4
2119351659 904 5
2119351660 904 5
2119351661 904 5
2119351669 904 5
2119351670 904 5
2119351671 904 5
2119351686 904 5
2119351687 904 5
2119351688 904 5
2119351689 904 5
2119351690 904 5
2119351691 904 5
2119351710 904 5
2119351711 904 5
2119351712 904 5
2119351713 904 5
2119351714 904 5
2119351715 904 5
2119351716 904 5
2119351717 904 5
2119351718 904 5
2119351719 904 5
2119351720 904 5
2119351721 904 5
2119351722 904 5
2119351723 904 5
2119351897 904 5
2119351898 904 5
2119358651 887 8
2119358652 887 8
2119358653 887 8
2119358654 887 8
2119358655 887 8
2119358656 887 8
2119358690 887 8
2119358691 887 8
2119358705 887 8
2119358715 887 8
2119358716 887 8
2119358717 887 8
2119358723 887 8
2119358724 887 8
2119358725 887 8
2119358726 887 8
2119358727 887 8
2119358730 887 8
2119358731 887 8
2119358736 887 8
2119358737 887 8
2119358756 887 8
2119358757 887 8
2119358758 887 8
2119358766 887 8
2119358767 887 8
2119358768 887 8
2119358774 887 8
2119358779 887 8
2119358780 887 8
2119358786 887 8
2119358787 887 8
2119358833 886 9
2119358834 886 9
2119358839 886 9
2119358840 886 9
2119358856 886 9
2119358858 886 9
2119358876 886 9
2119358877 886 9
2119358878 886 9
2119358879 886 9
2119358880 886 9
2119358882 886 9
2119358895 886 9
2119358896 886 9
2119358937 886 9
2119358939 886 9
2119358945 886 9
2119358962 886 9
2119358963 886 9
2119358964 886 9
2119358965 886 9
2119358977 886 9
2119358978 886 9
2119358983 886 9
2119358994 886 9
2119358995 886 9
2119359013 886 9
2119359014 886 9
2119359018 886 9
2119359023 886 9
2119359024 886 9
2119359039 886 9
2119359040 886 9
2119359044 886 9
2119359055 886 9
2119359056 886 9
2119359064 886 9
2119359065 886 9
2119359066 886 9
2119359071 886 9
2119359072 886 9
2119359077 886 9
2119359078 886 9
2119514626 699 7
2119514919 699 7
2119514922 699 7
