seq us class
2118993693 1576 9
2118993704 1575 7
2118993705 1575 7
2118993735 1575 7
2118993736 1575 7
2118993751 1575 7
2118993753 1575 7
2118993762 1575 7
2118993786 1575 7
2118993787 1575 7
2118993798 1575 7
2118993799 1575 7
2118993873 1575 7
2118993874 1575 7
2118993875 1575 7
2118994149 1574 5
2118994215 1574 5
2118994216 1574 5
2118994262 1574 5
2118994271 1574 5
2118994408 1574 5
2118994416 1574 5
2118994793 1572 3
2118994857 1572 3
2118994859 1572 3
2118994861 1572 3
2118994862 1572 3
2118994864 1572 3
2118994865 1572 3
2118994870 1572 3
2118994873 1572 3
2118994874 1572 3
2118994884 1572 3
2118994885 1572 3
2118994906 1572 3
2118994907 1572 3
2118994909 1572 3
2118994913 1572 3
2118994914 1572 3
2118994994 1571 7
2118994995 1571 7
2118995000 1571 7
2118995001 1571 7
2118995038 1571 7
2118995039 1571 7
2118995184 1570 8
2118995185 1570 8
2118995194 1570 8
2118995224 1570 8
2118995245 1570 8
2118995253 1569 10
2118995261 1569 10
2118995262 1569 10
2118995265 1569 10
2118995275 1569 10
2118995299 1569 10
2118995387 1569 10
2118995388 1569 10
2118995991 1566 9
2118996011 1566 9
2118996012 1566 9
2118996014 1566 9
2118996015 1566 9
2118996037 1566 9
2118997495 1561 2
2118997512 1561 2
2118997513 1561 2
2118997514 1561 2
2118997533 1561 2
2118997540 1561 2
2118997541 1561 2
2118997554 1561 2
2118997559 1561 2
2118997582 1561 2
2118997583 1561 2
2118998343 1557 8
2118998344 1557 8
2118998345 1557 8
2118998352 1557 8
2118998365 1557 8
2118998403 1557 8
2118998430 1557 8
2118998431 1557 8
2118998434 1557 8
2118998435 1557 8
2118998436 1557 8
2118998455 1557 8
2118998456 1557 8
2118998471 1557 8
2118999540 1551 10
2118999541 1551 10
2118999544 1551 10
2118999545 1551 10
2118999546 1551 10
2118999549 1551 10
2118999552 1551 10
2118999553 1551 10
2118999554 1551 10
2118999555 1551 10
2118999556 1551 10
2118999557 1551 10
2118999558 1551 10
2118999559 1551 10
2118999560 1551 10
2118999561 1551 10
2118999562 1551 10
2118999563 1551 10
2118999564 1551 10
2118999565 1551 10
2118999566 1551 10
2118999567 1551 10
2118999568 1551 10
2118999569 1551 10
2118999570 1551 10
2118999571 1551 10
2118999572 1551 10
2118999573 1551 10
2118999574 1551 10
2118999575 1551 10
2118999576 1551 10
2118999587 1551 10
2118999588 1551 10
2118999589 1551 10
2118999590 1551 10
2118999593 1551 10
2118999594 1551 10
2118999597 1551 10
2118999598 1551 10
2118999599 1551 10
2118999600 1551 10
2118999601 1551 10
2118999602 1551 10
2118999605 1551 10
2118999606 1551 10
2118999607 1551 10
2118999608 1551 10
2118999609 1551 10
2118999610 1551 10
2118999611 1551 10
2118999612 1551 10
2118999613 1551 10
2118999614 1551 10
2118999615 1551 10
2118999632 1551 10
2118999633 1551 10
2118999644 1551 10
2118999645 1551 10
2118999664 1550 9
2118999665 1550 9
2118999670 1550 9
2118999671 1550 9
2118999672 1550 9
2118999673 1550 9
2118999690 1550 9
2118999691 1550 9
2118999692 1550 9
2118999693 1550 9
2118999694 1550 9
2118999695 1550 9
2118999696 1550 9
2118999707 1550 9
2118999710 1550 9
2118999713 1550 9
2118999714 1550 9
2118999717 1550 9
2118999718 1550 9
2118999746 1549 6
2118999747 1549 6
2118999758 1549 6
2118999765 1549 6
2118999766 1549 6
2118999767 1549 6
2118999768 1549 6
2118999779 1549 6
2118999780 1549 6
2118999781 1549 6
2118999782 1549 6
2118999783 1549 6
2118999786 1549 6
2118999791 1549 6
2118999792 1549 6
2118999793 1549 6
2118999794 1549 6
2118999805 1549 6
2118999806 1549 6
2118999807 1549 6
2118999808 1549 6
2118999964 1548 2
2118999975 1548 2
2118999976 1548 2
2118999977 1548 2
2118999978 1548 2
2118999981 1548 2
2118999986 1548 2
2118999987 1548 2
2118999988 1548 2
2118999989 1548 2
2118999990 1548 2
2118999991 1548 2
2118999992 1548 2
2118999993 1548 2
2118999994 1548 2
2119000140 1546 7
2119000143 1546 7
2119000162 1546 7
2119000163 1546 7
2119000165 1546 7
2119000252 1546 7
2119000255 1546 7
2119000839 1543 10
2119000840 1543 10
2119000841 1543 10
2119000856 1543 10
2119000857 1543 10
2119000865 1543 10
2119000867 1543 10
2119000885 1543 10
2119000886 1543 10
2119000889 1543 10
2119000890 1543 10
2119000891 1543 10
2119000892 1543 10
2119000893 1543 10
2119000894 1543 10
2119000911 1542 10
2119000912 1542 10
2119000915 1542 10
2119000916 1542 10
2119000919 1542 10
2119000920 1542 10
2119000921 1542 10
2119000922 1542 10
2119000924 1542 10
2119000925 1542 10
2119000926 1542 10
2119000927 1542 10
2119000928 1542 10
2119000929 1542 10
2119000931 1542 10
2119000932 1542 10
2119000933 1542 10
2119000934 1542 10
2119000949 1542 10
2119000950 1542 10
2119000953 1542 10
2119000954 1542 10
2119000957 1542 10
2119000958 1542 10
2119000959 1542 10
2119000960 1542 10
2119000961 1542 10
2119000962 1542 10
2119000963 1542 10
2119000964 1542 10
2119000965 1542 10
2119000966 1542 10
2119000967 1542 10
2119000968 1542 10
2119000969 1542 10
2119000970 1542 10
2119000971 1542 10
2119000972 1542 10
2119000973 1542 10
2119000974 1542 10
2119000975 1542 10
2119000978 1542 10
2119000987 1542 10
2119000988 1542 10
2119000989 1542 10
2119000990 1542 10
2119000997 1542 10
2119001008 1542 10
2119001020 1542 10
2119001021 1542 10
2119001026 1541 2
2119001034 1541 2
2119001036 1541 2
2119001054 1541 2
2119001057 1541 2
2119001068 1541 2
2119001077 1541 2
2119001078 1541 2
2119001097 1541 2
2119001098 1541 2
2119001099 1541 2
2119001100 1541 2
2119001105 1541 2
2119001106 1541 2
2119001119 1541 2
2119001120 1541 2
2119001121 1541 2
